Id;Hora de início;Hora de conclusão;Nome:;Telefone / WhatsApp:;E-mail;Por Onde Prefere Começar?;Tipo de Instalação:;Valor Médio da Conta de Energia Elétrica:;Local da Residência:;Comentário (Opcional);Potência em kWh cliente;GTI Diário;PFV (kWp);indice;N° de módulos;N° Modulos final;Geração kWp;Geração excedente;Geração mensal estimada (kWh);quantidade de inversores;qtd inversores;preço equipamento;Instalação;Material diverso;Sub total;comissão de vendas;Art;Engenharia;Custos fixos 7PE;Margem de segurança;subtotal 2;impostos;lucro;Total orçamento;Payback em meses;Payback em anos
1;27/06/2025 17:27;27/06/2025 17:27;joão;kjddiisj;khgtryuy;Já conheço como funciona um sistema de energia solar. Quero um Orçamento Grátis!;Residencial;R$400;Outra;;409,04;5,5013;3,22;127,08;5,28;6;3,66;2,23;465,11;0,813;1;R$ 5.929,20;R$ 3.294,00;R$ 230,58;R$ 9.453,78;R$ 567,23;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;R$ 11.171,01;R$ 670,26;R$ 1.354,20;R$ 13.195,47;33;3
4;27/06/2025 20:16;27/06/2025 20:17;CARLINHUS;11010;CARLOSPORTUGAL@GMAIL.COM;Já conheço como funciona um sistema de energia solar. Quero um Orçamento Grátis!;Rural;R$ 2.300,00;Valinhos;;2352,00;5,5530;18,34;128,27;30,06;31;18,91;11,54;2425,67;4,202;4;R$ 30.634,20;R$ 17.019,00;R$ 1.191,33;R$ 48.844,53;R$ 2.930,67;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;R$ 52.925,20;R$ 3.175,51;R$ 6.996,70;R$ 63.097,41;27;2
5;27/06/2025 20:46;27/06/2025 20:47;yytgyoi;1;rs@gmail.com;Ainda não sei como funciona um sistema de energia solar. Quero tirar algumas dúvidas.;Comercial;R$900;Campinas;;920,35;5,5590;7,17;128,41;11,75;12;7,32;4,47;939,98;1,627;2;R$ 11.858,40;R$ 6.588,00;R$ 461,16;R$ 18.907,56;R$ 1.134,45;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;R$ 21.192,01;R$ 1.271,52;R$ 2.708,40;R$ 25.171,93;28;2
6;27/06/2025 20:53;27/06/2025 20:53;joão;3598956;er@joap.com.br;Ainda não sei como funciona um sistema de energia solar. Quero tirar algumas dúvidas.;Residencial;R$1500;Americana;;1533,91;5,5420;11,98;128,02;19,64;20;12,2;7,44;1561,85;2,711;3;R$ 19.764,00;R$ 10.980,00;R$ 768,60;R$ 31.512,60;R$ 1.890,76;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;R$ 34.553,36;R$ 2.073,20;R$ 4.514,00;R$ 41.140,56;27;2
7;27/06/2025 22:06;27/06/2025 22:06;tonhao;266265;tonho@gmail.com;Já conheço como funciona um sistema de energia solar. Quero um Orçamento Grátis!;Comercial;R$1000;Hortolândia;;0,00;5,5550;0,00;#DIV/0!;0,00;0;0;0,00;#DIV/0!;0,000;0;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;R$ 1.150,00;R$ 69,00;R$ 0,00;R$ 1.219,00;#DIV/0!;#DIV/0!
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
;;;;;;;;;;;0,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;R$ 250,00;R$ 500,00;R$ 300,00;R$ 100,00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
